product_id,description,top_k_predictions,ground_truth
80,VersiPro 1-1/2 x 1-1/2 x 3/4 Press Copper Reducing Tee C x C x C,"[{'rank': 1, 'commodity_code': 30102409, 'commodity_name': 'Copper rods', 'score': 0.6826169490814209, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural components and basic shapes', 'class': 'Rod', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 40173711, 'commodity_name': 'Copper pipe reducing flange', 'score': 0.6683790683746338, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe reducing flanges', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 40173613, 'commodity_name': 'Copper pipe reducing coupling', 'score': 0.6393358111381531, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe reducing couplings', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 30102309, 'commodity_name': 'Copper profiles', 'score': 0.5280150175094604, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural components and basic shapes', 'class': 'Profiles', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 31281906, 'commodity_name': 'Copper draw formed components', 'score': 0.423173189163208, 'segment': 'Manufacturing Components and Supplies', 'family': 'Stampings and sheet components', 'class': 'Draw formed components', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 40182003, 'commodity_name': 'Seamless copper end formed tube', 'score': 0.4148033559322357, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Tubes tubing and tube fittings', 'class': 'Seamless copper tubes', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 40182004, 'commodity_name': 'Seamless copper multiport tube', 'score': 0.4100263714790344, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Tubes tubing and tube fittings', 'class': 'Seamless copper tubes', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 40181503, 'commodity_name': 'Welded copper end formed tube', 'score': 0.39165908098220825, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Tubes tubing and tube fittings', 'class': 'Welded copper tubes', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 40181504, 'commodity_name': 'Welded copper multiport tube', 'score': 0.38054022192955017, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Tubes tubing and tube fittings', 'class': 'Welded copper tubes', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 30101809, 'commodity_name': 'Copper channels', 'score': 0.37797021865844727, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural components and basic shapes', 'class': 'Channels', 'in_hierarchy': True}]",Copper pipe tee
81,WHILE SUPPLIES LAST: MOEN T373BN GLYDE ROMAN TUB FAUCET BRUSHED NICKEL,"[{'rank': 1, 'commodity_code': 30181811, 'commodity_name': 'Faucet repair kit', 'score': 0.9952159523963928, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 30181804, 'commodity_name': 'Faucet handle', 'score': 0.9861847758293152, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 30181810, 'commodity_name': 'Faucet trim', 'score': 0.959915816783905, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 30181802, 'commodity_name': 'Faucet aerator', 'score': 0.8442743420600891, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 31421507, 'commodity_name': 'Nickel cobalt standard sintered filter', 'score': 0.6104638576507568, 'segment': 'Manufacturing Components and Supplies', 'family': 'Sintered parts', 'class': 'Sintered filters', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 31421508, 'commodity_name': 'Nickel cobalt high temperature sintered filter', 'score': 0.596975564956665, 'segment': 'Manufacturing Components and Supplies', 'family': 'Sintered parts', 'class': 'Sintered filters', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 31421509, 'commodity_name': 'Nickel cobalt compacted standard sintered filter', 'score': 0.5715144872665405, 'segment': 'Manufacturing Components and Supplies', 'family': 'Sintered parts', 'class': 'Sintered filters', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 30181702, 'commodity_name': 'Faucet unit', 'score': 0.5589560866355896, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucets or taps', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 30266602, 'commodity_name': 'Nickel ingot', 'score': 0.4862428307533264, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Nickel sheets and ingots', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 31291419, 'commodity_name': 'Nickel alloy machined hot extrusions', 'score': 0.44832995533943176, 'segment': 'Manufacturing Components and Supplies', 'family': 'Machined extrusions', 'class': 'Machined hot extrusions', 'in_hierarchy': False}]",Faucet unit
82,3 ABS DWV Sanitary Tee H x H x H,"[{'rank': 1, 'commodity_code': 40174610, 'commodity_name': 'ABS plastic pipe tee', 'score': 0.8265008926391602, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 12141902, 'commodity_name': 'Hydrogen H', 'score': 0.6557449102401733, 'segment': 'Chemicals including Bio Chemicals and Gas Materials', 'family': 'Elements and gases', 'class': 'Non metals and pure and elemental gases', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 40174606, 'commodity_name': 'Malleable iron pipe tee', 'score': 0.39577338099479675, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 40174611, 'commodity_name': 'HDPE plastic pipe tee', 'score': 0.39469072222709656, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 40174603, 'commodity_name': 'Cast iron pipe tee', 'score': 0.39305317401885986, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 40174605, 'commodity_name': 'Forged steel pipe tee', 'score': 0.3911478519439697, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 40174604, 'commodity_name': 'Ductile iron pipe tee', 'score': 0.3888397812843323, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 25171723, 'commodity_name': 'Antilock braking system ABS', 'score': 0.375484824180603, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation components and systems', 'class': 'Braking systems and components', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40174609, 'commodity_name': 'CPVC plastic pipe tee', 'score': 0.369001179933548, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 40174602, 'commodity_name': 'Carbon steel pipe tee', 'score': 0.365077406167984, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': False}]",ABS plastic pipe tee
83,AMESTA 3517A.101.021 BONE ADA ELG BOWL ONLY CADET PRO 1.28/1.6GPF,"[{'rank': 1, 'commodity_code': 56141701, 'commodity_name': 'Metal bowl', 'score': 1.0, 'segment': 'Furniture and Furnishings', 'family': 'Decorative adornments', 'class': 'Metal adornments', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 56141501, 'commodity_name': 'Ceramic bowl', 'score': 0.9304212331771851, 'segment': 'Furniture and Furnishings', 'family': 'Decorative adornments', 'class': 'Ceramic adornments', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 27112604, 'commodity_name': 'Putty bowl', 'score': 0.9208868145942688, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Sealing tools', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 56141801, 'commodity_name': 'Wooden bowl', 'score': 0.9110608100891113, 'segment': 'Furniture and Furnishings', 'family': 'Decorative adornments', 'class': 'Wooden adornments', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 56141601, 'commodity_name': 'Glass bowl', 'score': 0.8861082196235657, 'segment': 'Furniture and Furnishings', 'family': 'Decorative adornments', 'class': 'Glass adornments', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 22101530, 'commodity_name': 'Open bowl scrapers', 'score': 0.7885856628417969, 'segment': 'Building and Construction Machinery and Accessories', 'family': 'Heavy construction machinery and equipment', 'class': 'Earth moving machinery', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 22101519, 'commodity_name': 'Twin engine open bowl scrapers', 'score': 0.7525466680526733, 'segment': 'Building and Construction Machinery and Accessories', 'family': 'Heavy construction machinery and equipment', 'class': 'Earth moving machinery', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 42294602, 'commodity_name': 'Autotransfusion bowl kit or centrifugal kit', 'score': 0.7009928226470947, 'segment': 'Medical Equipment and Accessories and Supplies', 'family': 'Surgical products', 'class': 'Autotransfusion products', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 40151737, 'commodity_name': 'Pump bowl assembly', 'score': 0.6803511381149292, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Industrial pumps and compressors', 'class': 'Pump parts and accessories', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 42295466, 'commodity_name': 'Surgical bone cement', 'score': 0.6031540632247925, 'segment': 'Medical Equipment and Accessories and Supplies', 'family': 'Surgical products', 'class': 'Surgical support supplies', 'in_hierarchy': False}]",Toilet bowls
84,WHILE SUPPLIES LAST: KOHLER K-438-K-NA 1/2 DECK MOUNT VALVE,"[{'rank': 1, 'commodity_code': 30181808, 'commodity_name': 'Rough in valve', 'score': 0.7585499286651611, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 40141642, 'commodity_name': 'Saddle valve', 'score': 0.6869906187057495, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Valves', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 31161738, 'commodity_name': 'Keps nut or K nut', 'score': 0.6789801120758057, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Nuts', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 40141636, 'commodity_name': 'Valve kits', 'score': 0.6562682390213013, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Valves', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40141653, 'commodity_name': 'Sluice valve', 'score': 0.5072731375694275, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Valves', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 12141804, 'commodity_name': 'Potassium K', 'score': 0.4612081050872803, 'segment': 'Chemicals including Bio Chemicals and Gas Materials', 'family': 'Elements and gases', 'class': 'Alkali metals', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 40141612, 'commodity_name': 'Expansion valves', 'score': 0.4557269215583801, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Valves', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40141654, 'commodity_name': 'Cock valve', 'score': 0.4316549301147461, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Valves', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40141616, 'commodity_name': 'Valve parts or accessories', 'score': 0.40790724754333496, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Valves', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40141632, 'commodity_name': 'Sentinel valves', 'score': 0.39677226543426514, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Valves', 'in_hierarchy': True}]",Rough in valve
85,WHILE SUPPLIES LAST: 312B-30CW MATTE BLACK WHEEL WEIGHT STICK ON 30 STRIPS OF 12 SEGMENTS .25oz (47315),"[{'rank': 1, 'commodity_code': 31171503, 'commodity_name': 'Wheel bearings', 'score': 0.9993817806243896, 'segment': 'Manufacturing Components and Supplies', 'family': 'Bearings and bushings and wheels and gears', 'class': 'Bearings', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 31171805, 'commodity_name': 'Wheel brushes', 'score': 0.8372165560722351, 'segment': 'Manufacturing Components and Supplies', 'family': 'Bearings and bushings and wheels and gears', 'class': 'Industrial wheels', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 31171905, 'commodity_name': 'Chain wheel', 'score': 0.6602433919906616, 'segment': 'Manufacturing Components and Supplies', 'family': 'Bearings and bushings and wheels and gears', 'class': 'Sprockets', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 53141612, 'commodity_name': 'Serrated pattern tracing wheel', 'score': 0.6249393224716187, 'segment': 'Apparel and Luggage and Personal Care Products', 'family': 'Sewing supplies and accessories', 'class': 'Miscellaneous sewing supplies', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 31162304, 'commodity_name': 'Mounting strips', 'score': 0.5800000429153442, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Mounting hardware', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 31171526, 'commodity_name': 'Bearing pads', 'score': 0.52674400806427, 'segment': 'Manufacturing Components and Supplies', 'family': 'Bearings and bushings and wheels and gears', 'class': 'Bearings', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 31171516, 'commodity_name': 'Tapered bearings', 'score': 0.5195208191871643, 'segment': 'Manufacturing Components and Supplies', 'family': 'Bearings and bushings and wheels and gears', 'class': 'Bearings', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 31171529, 'commodity_name': 'Bearing cups', 'score': 0.4936078190803528, 'segment': 'Manufacturing Components and Supplies', 'family': 'Bearings and bushings and wheels and gears', 'class': 'Bearings', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 31162702, 'commodity_name': 'Wheels', 'score': 0.4874287247657776, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Rolling hardware', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 31171509, 'commodity_name': 'Sleeve bearings', 'score': 0.4767897129058838, 'segment': 'Manufacturing Components and Supplies', 'family': 'Bearings and bushings and wheels and gears', 'class': 'Bearings', 'in_hierarchy': False}]",Spray paints
86,4 Schedule 80 PVC Male Adapter SOC x MPT,"[{'rank': 1, 'commodity_code': 40171708, 'commodity_name': 'PVC plastic pipe adapter', 'score': 1.1221320629119873, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe adapters', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 40172508, 'commodity_name': 'PVC plastic pipe connector', 'score': 0.5951367020606995, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe connectors', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 13102030, 'commodity_name': 'Polyvinyl Chloride PVC', 'score': 0.5481957197189331, 'segment': 'Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials', 'family': 'Rubber and elastomers', 'class': 'Thermoplastic plastics', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 40173508, 'commodity_name': 'PVC plastic pipe plug', 'score': 0.5149017572402954, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe plugs', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40172608, 'commodity_name': 'PVC plastic pipe coupling', 'score': 0.4936544895172119, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe couplings', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 40174307, 'commodity_name': 'PVC plastic pipe spacer', 'score': 0.4753648638725281, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe spacers', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 40183002, 'commodity_name': 'PVC plastic tubing', 'score': 0.4732823967933655, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Tubes tubing and tube fittings', 'class': 'Rubber and plastic tubing', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40174908, 'commodity_name': 'PVC plastic pipe union', 'score': 0.4560750722885132, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe unions', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40171517, 'commodity_name': 'Commercial PVC pipe', 'score': 0.4521836042404175, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Commercial pipe and piping', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40171709, 'commodity_name': 'CPVC plastic pipe adapter', 'score': 0.44573089480400085, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe adapters', 'in_hierarchy': True}]",PVC plastic pipe adapter
87,"BASCO CELN-950CLWI 65""H CELESTA DR PN W/RET PN W/O HDR CLEAR GLASS AND WROUGHT IRON HARDWARE PER QUOTE","[{'rank': 1, 'commodity_code': 12141747, 'commodity_name': 'Tungsten W', 'score': 0.9441443681716919, 'segment': 'Chemicals including Bio Chemicals and Gas Materials', 'family': 'Elements and gases', 'class': 'Transition metals', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 40141746, 'commodity_name': 'Sight glass', 'score': 0.6582154035568237, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Fluid and gas distribution', 'class': 'Hardware and fittings', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 50202210, 'commodity_name': 'Clear strained rice wine', 'score': 0.6515077352523804, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Beverages', 'class': 'Alcoholic beverages', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 56141601, 'commodity_name': 'Glass bowl', 'score': 0.6004478931427002, 'segment': 'Furniture and Furnishings', 'family': 'Decorative adornments', 'class': 'Glass adornments', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 56141602, 'commodity_name': 'Glass vase', 'score': 0.5244241952896118, 'segment': 'Furniture and Furnishings', 'family': 'Decorative adornments', 'class': 'Glass adornments', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 49101613, 'commodity_name': 'Glass crystals', 'score': 0.4855557680130005, 'segment': 'Sports and Recreational Equipment and Supplies and Accessories', 'family': 'Collectibles and awards', 'class': 'Collectibles', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 56141603, 'commodity_name': 'Glass plate or platter', 'score': 0.4721871018409729, 'segment': 'Furniture and Furnishings', 'family': 'Decorative adornments', 'class': 'Glass adornments', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 30171703, 'commodity_name': 'Beveled glass', 'score': 0.4718189835548401, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Doors and windows and glass', 'class': 'Glass products', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 30171704, 'commodity_name': 'Leaded glass', 'score': 0.46337631344795227, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Doors and windows and glass', 'class': 'Glass products', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 56141604, 'commodity_name': 'Glass statuette or figurine', 'score': 0.4597403109073639, 'segment': 'Furniture and Furnishings', 'family': 'Decorative adornments', 'class': 'Glass adornments', 'in_hierarchy': False}]",Showers
88,Viega 1/2 MegaPress 316 Stainless Steel Coupling Press x Press,"[{'rank': 1, 'commodity_code': 11171603, 'commodity_name': 'Stainless steel alloy 316', 'score': 0.9121320247650146, 'segment': 'Mineral and Textile and Inedible Plant and Animal Materials', 'family': 'Alloys', 'class': 'Stainless steel alloys', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 40172607, 'commodity_name': 'Stainless steel pipe coupling', 'score': 0.6579228043556213, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe couplings', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 11171601, 'commodity_name': 'Stainless steel alloy 304', 'score': 0.4777553677558899, 'segment': 'Mineral and Textile and Inedible Plant and Animal Materials', 'family': 'Alloys', 'class': 'Stainless steel alloys', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 31161724, 'commodity_name': 'Press nuts', 'score': 0.43796873092651367, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Nuts', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 30264701, 'commodity_name': 'Stainless steel SAE 300 series hot rolled coil', 'score': 0.4148441553115845, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Stainless steel coil', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 30264704, 'commodity_name': 'Stainless steel SAE 300 series cold rolled coil', 'score': 0.4146111011505127, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Stainless steel coil', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 40173005, 'commodity_name': 'Stainless steel pipe half coupling', 'score': 0.4142071008682251, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe half couplings', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 27121502, 'commodity_name': 'Hydraulic press frames', 'score': 0.39267006516456604, 'segment': 'Tools and General Machinery', 'family': 'Hydraulic machinery and equipment', 'class': 'Hydraulic presses', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 27121504, 'commodity_name': 'Industrial hydraulic press', 'score': 0.38906365633010864, 'segment': 'Tools and General Machinery', 'family': 'Hydraulic machinery and equipment', 'class': 'Hydraulic presses', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 27121503, 'commodity_name': 'Hydraulic press columns', 'score': 0.38714033365249634, 'segment': 'Tools and General Machinery', 'family': 'Hydraulic machinery and equipment', 'class': 'Hydraulic presses', 'in_hierarchy': False}]",Stainless steel pipe coupling
89,WHILE SUPPLIES LAST: NTI PART 87099 TRXFTN CASCADING KIT,"[{'rank': 1, 'commodity_code': 31162814, 'commodity_name': 'Fastener assortment kit', 'score': 1.1182442903518677, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Miscellaneous hardware', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31251515, 'commodity_name': 'Actuator kit', 'score': 0.8702223300933838, 'segment': 'Manufacturing Components and Supplies', 'family': 'Pneumatic and hydraulic and electric control systems', 'class': 'Actuators', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 44121630, 'commodity_name': 'Stapler kit', 'score': 0.8256711959838867, 'segment': 'Office Equipment and Accessories and Supplies', 'family': 'Office supplies', 'class': 'Desk supplies', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 25175102, 'commodity_name': 'Motorcycle repair part kit', 'score': 0.7910550832748413, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation components and systems', 'class': 'Transportation repair parts kits', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 42151659, 'commodity_name': 'Ripping tooth parts kit', 'score': 0.7651681900024414, 'segment': 'Medical Equipment and Accessories and Supplies', 'family': 'Dental equipment and supplies', 'class': 'Dental and subspecialty instruments and devices', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 25175101, 'commodity_name': 'Motor vehicle repair part kit', 'score': 0.7519290447235107, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation components and systems', 'class': 'Transportation repair parts kits', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 42294602, 'commodity_name': 'Autotransfusion bowl kit or centrifugal kit', 'score': 0.7269849181175232, 'segment': 'Medical Equipment and Accessories and Supplies', 'family': 'Surgical products', 'class': 'Autotransfusion products', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 31411703, 'commodity_name': 'Mechanical seal kit', 'score': 0.7138234972953796, 'segment': 'Manufacturing Components and Supplies', 'family': 'Seals', 'class': 'Mechanical seals', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 25175106, 'commodity_name': 'Non motorized cycle repair part kit', 'score': 0.6923648715019226, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation components and systems', 'class': 'Transportation repair parts kits', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 42142715, 'commodity_name': 'Urinary catheterization kit', 'score': 0.6566664576530457, 'segment': 'Medical Equipment and Accessories and Supplies', 'family': 'Patient care and treatment products and supplies', 'class': 'Urological supplies', 'in_hierarchy': False}]",Mounting plates
